ID_code,target
train_1311,0.11
train_1312,0.13
train_1313,0.1
train_1314,0.02
train_1315,0.12
train_1316,0.04
train_1317,0.1
train_1318,0.25
train_1319,0.13
train_1320,0.03
train_1321,0.03
train_1322,0.02
train_1323,0.18
train_1324,0.06
train_1325,0.03
train_1326,0.14
train_1327,0.15
train_1328,0.12
train_1329,0.25
train_1330,0.05
train_1331,0.17
train_1332,0.17
train_1333,0.11
train_1334,0.23
train_1335,0.03
train_1336,0.09
train_1337,0.08
train_1338,0.12
train_1339,0.15
train_1340,0.08
train_1341,0.29
train_1342,0.12
train_1343,0.13
train_1344,0.13
train_1345,0.05
train_1346,0.15
train_1347,0.1
train_1348,0.19
train_1349,0.09
train_1350,0.02
train_1351,0.1
train_1352,0.1
train_1353,0.04
train_1354,0.14
train_1355,0.13
train_1356,0.1
train_1357,0.13
train_1358,0.2
train_1359,0.15
train_1360,0.22
train_1361,0.16
train_1362,0.05
train_1363,0.1
train_1364,0.08
train_1365,0.06
train_1366,0.04
train_1367,0.08
train_1368,0.13
train_1369,0.1
train_1370,0.14
train_1371,0.13
train_1372,0.18
train_1373,0.07
train_1374,0.34
train_1375,0.05
train_1376,0.03
train_1377,0.24
train_1378,0.29
train_1379,0.08
train_1380,0.12
train_1381,0.13
train_1382,0.35
train_1383,0.05
train_1384,0.21
train_1385,0.04
train_1386,0.1
train_1387,0.07
train_1388,0.02
train_1389,0.07
train_1390,0.06
train_1391,0.12
train_1392,0.05
train_1393,0.07
train_1394,0.1
train_1395,0.05
train_1396,0.19
train_1397,0.15
train_1398,0.08
train_1399,0.16
train_1400,0.06
train_1401,0.08
train_1402,0.12
train_1403,0.12
train_1404,0.01
train_1405,0.03
train_1406,0.05
train_1407,0.12
train_1408,0.15
train_1409,0.12
train_1410,0.14
train_1411,0.03
train_1412,0.14
train_1413,0.18
train_1414,0.13
train_1415,0.1
train_1416,0.12
train_1417,0.1
train_1418,0.14
train_1419,0.05
train_1420,0.19
train_1421,0.07
train_1422,0.22
train_1423,0.24
train_1424,0.03
train_1425,0.2
train_1426,0.11
train_1427,0.06
train_1428,0.02
train_1429,0.15
train_1430,0.13
train_1431,0.09
train_1432,0.2
train_1433,0.14
train_1434,0.08
train_1435,0.03
train_1436,0.01
train_1437,0.09
train_1438,0.07
train_1439,0.14
train_1440,0.13
train_1441,0.06
train_1442,0.1
train_1443,0.11
train_1444,0.06
train_1445,0.15
train_1446,0.07
train_1447,0.13
train_1448,0.0
train_1449,0.12
train_1450,0.16
train_1451,0.17
train_1452,0.06
train_1453,0.08
train_1454,0.11
train_1455,0.11
train_1456,0.07
train_1457,0.01
train_1458,0.12
train_1459,0.16
train_1460,0.07
train_1461,0.02
train_1462,0.04
train_1463,0.02
train_1464,0.07
train_1465,0.09
train_1466,0.07
train_1467,0.02
train_1468,0.12
train_1469,0.15
train_1470,0.1
train_1471,0.12
train_1472,0.13
train_1473,0.02
train_1474,0.07
train_1475,0.11
train_1476,0.19
train_1477,0.06
train_1478,0.05
train_1479,0.09
train_1480,0.08
train_1481,0.12
train_1482,0.1
train_1483,0.03
train_1484,0.06
train_1485,0.04
train_1486,0.1
train_1487,0.16
train_1488,0.06
train_1489,0.04
train_1490,0.25
train_1491,0.08
train_1492,0.0
train_1493,0.07
train_1494,0.19
train_1495,0.22
train_1496,0.07
train_1497,0.02
train_1498,0.24
train_1499,0.0
train_1500,0.17
train_1501,0.14
train_1502,0.02
train_1503,0.05
train_1504,0.07
train_1505,0.18
train_1506,0.2
train_1507,0.27
train_1508,0.08
train_1509,0.06
train_1510,0.1
train_1511,0.06
train_1512,0.19
train_1513,0.1
train_1514,0.16
train_1515,0.11
train_1516,0.27
train_1517,0.06
train_1518,0.12
train_1519,0.06
train_1520,0.19
train_1521,0.04
train_1522,0.03
train_1523,0.14
train_1524,0.18
train_1525,0.11
train_1526,0.11
train_1527,0.14
train_1528,0.03
train_1529,0.08
train_1530,0.1
train_1531,0.12
train_1532,0.11
train_1533,0.1
train_1534,0.12
train_1535,0.04
train_1536,0.04
train_1537,0.06
train_1538,0.17
train_1539,0.05
train_1540,0.12
train_1541,0.05
train_1542,0.03
train_1543,0.19
train_1544,0.2
train_1545,0.05
train_1546,0.14
train_1547,0.1
train_1548,0.17
train_1549,0.17
train_1550,0.03
train_1551,0.04
train_1552,0.22
train_1553,0.08
train_1554,0.09
train_1555,0.12
train_1556,0.08
train_1557,0.04
train_1558,0.02
train_1559,0.05
train_1560,0.05
train_1561,0.11
train_1562,0.12
train_1563,0.09
train_1564,0.14
train_1565,0.04
train_1566,0.12
train_1567,0.14
train_1568,0.11
train_1569,0.03
train_1570,0.14
train_1571,0.09
train_1572,0.07
train_1573,0.17
train_1574,0.07
train_1575,0.08
train_1576,0.02
train_1577,0.04
train_1578,0.12
train_1579,0.03
train_1580,0.08
train_1581,0.04
train_1582,0.0
train_1583,0.13
train_1584,0.04
train_1585,0.12
train_1586,0.08
train_1587,0.06
train_1588,0.09
train_1589,0.08
train_1590,0.1
train_1591,0.13
train_1592,0.15
train_1593,0.09
train_1594,0.22
train_1595,0.11
train_1596,0.18
train_1597,0.12
train_1598,0.16
train_1599,0.21
train_1600,0.11
train_1601,0.16
train_1602,0.23
train_1603,0.12
train_1604,0.12
train_1605,0.18
train_1606,0.17
train_1607,0.07
train_1608,0.05
train_1609,0.2
train_1610,0.28
train_1611,0.05
train_1612,0.1
train_1613,0.2
train_1614,0.16
train_1615,0.12
train_1616,0.07
train_1617,0.18
train_1618,0.22
train_1619,0.1
train_1620,0.08
train_1621,0.06
train_1622,0.15
train_1623,0.12
train_1624,0.1
train_1625,0.06
train_1626,0.09
train_1627,0.06
train_1628,0.12
train_1629,0.08
train_1630,0.1
train_1631,0.09
train_1632,0.07
train_1633,0.1
train_1634,0.22
train_1635,0.01
train_1636,0.14
train_1637,0.1
train_1638,0.17
train_1639,0.12
train_1640,0.09
train_1641,0.15
train_1642,0.36
train_1643,0.05
train_1644,0.11
train_1645,0.03
train_1646,0.13
train_1647,0.07
train_1648,0.16
train_1649,0.09
train_1650,0.15
train_1651,0.18
train_1652,0.14
train_1653,0.06
train_1654,0.08
train_1655,0.07
train_1656,0.07
train_1657,0.16
train_1658,0.2
train_1659,0.04
train_1660,0.01
train_1661,0.11
train_1662,0.26
train_1663,0.25
train_1664,0.07
